category_id,title,parent_1,parent_2,parent_3
copyshops,Printing Services,localservices,,
corsican,Corsican,restaurants,,
cosmeticdentists,Cosmetic Dentists,dentists,,
cosmetics,Cosmetics & Beauty Supply,beautysvc,shopping,
cosmeticsurgeons,Cosmetic Surgeons,physicians,,
cosmetology_schools,Cosmetology Schools,specialtyschools,,
costumes,Costumes,artsandcrafts,,
countertopinstall,Countertop Installation,homeservices,,
countryclubs,Country Clubs,arts,,
countrydancehalls,Country Dance Halls,nightlife,,
couriers,Couriers & Delivery Services,localservices,,
courthouses,Courthouses,publicservicesgovt,,
courtreporters,Court Reporters,legalservices,,
cprclasses,CPR Classes,specialtyschools,,
craneservices,Crane Services,localservices,,
cremationservices,Cremation Services,funeralservices,,
creperies,Creperies,restaurants,,
criminaldefense,Criminal Defense Law,lawyers,,
crisispregnancycenters,Crisis Pregnancy Centers,health,,
cryotherapy,Cryotherapy,health,,
csa,CSA,food,,
cuban,Cuban,restaurants,,
cucinacampana,Cucina campana,italian,,
culturalcenter,Cultural Center,arts,,
cupcakes,Cupcakes,food,,
currencyexchange,Currency Exchange,financialservices,,
currysausage,Curry Sausage,restaurants,,
customcakes,Custom Cakes,food,,
custommerchandise,Customized Merchandise,shopping,,
customsbrokers,Customs Brokers,professional,,
cyclingclasses,Cycling Classes,active,,
cypriot,Cypriot,restaurants,,
czech,Czech,restaurants,,
czechslovakian,Czech/Slovakian,restaurants,,
dagashi,Dagashi,gourmet,,
damagerestoration,Damage Restoration,homeservices,,
dance_schools,Dance Schools,specialtyschools,,
danceclubs,Dance Clubs,nightlife,,
dancerestaurants,Dance Restaurants,nightlife,,
dancestudio,Dance Studios,fitness,,
dancewear,Dance Wear,sportswear,,
danish,Danish,restaurants,,
dartarenas,Dart Arenas,active,,
datarecovery,Data Recovery,itservices,,
daycamps,Day Camps,active,,
debtrelief,Debt Relief Services,financialservices,,
decksrailing,Decks & Railing,homeservices,,
delicatessen,Delicatessen,food,,
delis,Delis,restaurants,,
demolitionservices,Demolition Services,homeservices,,
dentalhygeiniststorefront,Storefront Clinics,dentalhygienists,,
dentalhygienists,Dental Hygienists,health,,
dentalhygienistsmobile,Mobile Clinics,dentalhygienists,,
dentists,Dentists,health,,
departmentsofmotorvehicles,Departments of Motor Vehicles,publicservicesgovt,,
deptstores,Department Stores,fashion,shopping,
dermatology,Dermatologists,physicians,,
desserts,Desserts,food,,
diagnosticimaging,Diagnostic Imaging,diagnosticservices,,
diagnosticservices,Diagnostic Services,health,,
dialysisclinics,Dialysis Clinics,health,,
diamondbuyers,Diamond Buyers,shopping,,
dietitians,Dietitians,health,,
digitizingservices,Digitizing Services,professional,,
dimsum,Dim Sum,chinese,,
diners,Diners,restaurants,,
dinnertheater,Dinner Theater,restaurants,,
disabilitylaw,Disability Law,lawyers,,
discgolf,Disc Golf,active,,
discountstore,Discount Store,shopping,,
distilleries,Distilleries,food,,
divebars,Dive Bars,bars,,
diveshops,Dive Shops,sportgoods,,
diving,Diving,active,,
divorce,Divorce & Family Law,lawyers,,
diyautoshop,DIY Auto Shop,autorepair,,
diyfood,Do-It-Yourself Food,food,,
djs,DJs,eventservices,,
dog_parks,Dog Parks,parks,,
dogwalkers,Dog Walkers,petservices,,
dolmusstation,Dolmus Station,transport,,
dominican,Dominican,caribbean,,
donairs,Donairs,food,,
donationcenter,Donation Center,localservices,,
donburi,Donburi,japanese,,
donuts,Donuts,food,,
doorsales,Door Sales/Installation,homeservices,,
doulas,Doulas,health,,
dramaschools,Drama Schools,specialtyschools,,
driedfruit,Dried Fruit,gourmet,,
driveintheater,Drive-In Theater,movietheaters,,
drivethrubars,Drive-Thru Bars,bars,,
driving_schools,Driving Schools,specialtyschools,,
drones,Drones,shopping,,
drugstores,Drugstores,shopping,,
dryclean,Dry Cleaning,laundryservices,,
drywall,Drywall Installation & Repair,homeservices,,
duilawyers,DUI Law,lawyers,,
duischools,DUI Schools,specialtyschools,,
dumplings,Dumplings,restaurants,,
dumpsterrental,Dumpster Rental,junkremovalandhauling,,
duplicationservices,Duplication Services,professional,,
dutyfreeshops,Duty-Free Shops,shopping,,
earnosethroat,Ear Nose & Throat,physicians,,
eastern_european,Eastern European,restaurants,,
easterngerman,Eastern German,german,,
easternmexican,Eastern Mexican,mexican,,
eatertainment,Eatertainment,arts,,
editorialservices,Editorial Services,professional,,
education,Education,,,
educationservices,Educational Services,education,,
egyptian,Egyptian,mideastern,,
eldercareplanning,Elder Care Planning,localservices,,
elderlaw,Elder Law,lawyers,,
electricians,Electricians,homeservices,,
electricitysuppliers,Electricity Suppliers,utilities,,
electronics,Electronics,shopping,,
electronicsrepair,Electronics Repair,localservices,,
elementaryschools,Elementary Schools,education,,
elevatorservices,Elevator Services,localservices,,
eltern_cafes,Parent Cafes,restaurants,food,
embassy,Embassy,publicservicesgovt,,
embroideryandcrochet,Embroidery & Crochet,artsandcrafts,,
emergencymedicine,Emergency Medicine,physicians,,
emergencypethospital,Emergency Pet Hospital,petservices,,
emergencyrooms,Emergency Rooms,health,,
emilian,Emilian,italian,,
empanadas,Empanadas,food,,
employmentagencies,Employment Agencies,professional,,
employmentlawyers,Employment Law,lawyers,,
emstraining,EMS Training,fitness,,
endocrinologists,Endocrinologists,physicians,,
endodontists,Endodontists,dentists,,
engraving,Engraving,localservices,,
entertainmentlaw,Entertainment Law,lawyers,,
enviroabatement,Environmental Abatement,localservices,,
environmentaltesting,Environmental Testing,localservices,,
eritrean,Eritrean,restaurants,,
eroticmassage,Erotic Massage,beautysvc,,
escapegames,Escape Games,active,,
estateliquidation,Estate Liquidation,realestate,,
estatephotography,Real Estate Photography,realestatesvcs,,
estateplanning,Estate Planning Law,lawyers,,
estheticians,Estheticians,skincare,,
ethicgrocery,Ethical Grocery,food,,
ethiopian,Ethiopian,restaurants,,
evchargingstations,EV Charging Stations,auto,,
eventphotography,Event Photography,photographers,,
eventplanning,Party & Event Planning,eventservices,,
eventservices,Event Planning & Services,,,
excavationservices,Excavation Services,homeservices,,
experiences,Experiences,active,,
